label,continent,subtype,host,year,lowORhigh
EPI_ISL_131127,Asia,H7N7,ANSERIFORMES,2012.09.01,LPAI
EPI_ISL_4882548,Asia,H7N9,GALLIFORMES,2014.01.27,LPAI
EPI_ISL_4071549,Asia,H7N7,Environment,2019.12.07,LPAI
EPI_ISL_4071519,Asia,H7N7,Environment,2019.12.07,LPAI
EPI_ISL_4071511,Asia,H7N7,ANSERIFORMES,2019.12.09,LPAI
EPI_ISL_65671,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_65670,Asia,H7N3,GALLIFORMES,2004.6.30,HPAI
EPI_ISL_336036,Asia,H7N9,GALLIFORMES,2016.05.16,LPAI
EPI_ISL_8355,NorthAmerica,H7N3,ANSERIFORMES,2001.6.30,LPAI
EPI_ISL_155815,Asia,H7N9,GALLIFORMES,2014.01.27,LPAI
EPI_ISL_24810,NorthAmerica,H7N3,ANSERIFORMES,2007.6.30,LPAI
EPI_ISL_24811,NorthAmerica,H7N3,ANSERIFORMES,2007.6.30,LPAI
EPI_ISL_24812,NorthAmerica,H7N3,GALLIFORMES,2007.6.30,LPAI
EPI_ISL_4071628,Asia,H7N7,Environment,2019.12.07,LPAI
EPI_ISL_4071719,Asia,H7N3,ANSERIFORMES,2019.12.07,LPAI
EPI_ISL_803116,Asia,H7N6,ANSERIFORMES,2019.02.07,LPAI
EPI_ISL_4071806,Asia,H7N2,ANSERIFORMES,2019.12.08,LPAI
EPI_ISL_366,Asia,H7N7,ANSERIFORMES,2002.6.30,LPAI
EPI_ISL_368,Asia,H7N7,ANSERIFORMES,2002.6.30,LPAI
EPI_ISL_377,Asia,H7N1,ANSERIFORMES,2001.6.30,LPAI
EPI_ISL_328157,Asia,H7N3,ANSERIFORMES,2017.09.01,LPAI
EPI_ISL_82475,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,HPAI
EPI_ISL_295522,Asia,H7N3,ANSERIFORMES,2017.01.12,LPAI
EPI_ISL_295523,Asia,H7N3,ANSERIFORMES,2017.01.12,LPAI
EPI_ISL_131725,NorthAmerica,H7N3,ANSERIFORMES,2007.09.17,LPAI
EPI_ISL_131740,NorthAmerica,H7N4,ANSERIFORMES,2007.08.21,LPAI
EPI_ISL_328360,NorthAmerica,H7N3,ANSERIFORMES,2017.08.12,LPAI
EPI_ISL_17982441,Asia,H7N3,GALLIFORMES,2023.04.18,unknown
EPI_ISL_131880,NorthAmerica,H7N3,ANSERIFORMES,2007.08.16,LPAI
EPI_ISL_131881,NorthAmerica,H7N3,ANSERIFORMES,2007.09.17,LPAI
EPI_ISL_156471,Asia,H7N9,human,2014.02.12,LPAI
EPI_ISL_131904,NorthAmerica,H7N6,ANSERIFORMES,2009.02.05,LPAI
EPI_ISL_213839,Europe,H7N7,ANSERIFORMES,2012.09.12,LPAI
EPI_ISL_213838,Europe,H7N1,ANSERIFORMES,2009.03.25,LPAI
EPI_ISL_213840,Europe,H7N7,ANSERIFORMES,2012.11.06,LPAI
EPI_ISL_148370,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_148369,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_25495,Asia,H7N3,GALLIFORMES,2002.6.30,HPAI
EPI_ISL_25497,Asia,H7N3,GALLIFORMES,2002.6.30,HPAI
EPI_ISL_99295,NorthAmerica,H7N3,ANSERIFORMES,2006.08.09,LPAI
EPI_ISL_173033,Asia,H7N9,human,2015.02.22,LPAI
EPI_ISL_99345,NorthAmerica,H7N3,ANSERIFORMES,2001.07.26,LPAI
EPI_ISL_140356,Asia,H7N9,human,2013.04.24,LPAI
EPI_ISL_189655,NorthAmerica,H7N3,ANSERIFORMES,2010.08.12,LPAI
EPI_ISL_189658,NorthAmerica,H7N8,ANSERIFORMES,2010.08.14,LPAI
EPI_ISL_124263,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124265,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124264,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124266,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124268,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124271,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124270,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124272,Asia,H7N4,ANSERIFORMES,2010.12.22,LPAI
EPI_ISL_124275,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124274,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124276,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124279,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124281,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124280,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124283,Asia,H7N4,ANSERIFORMES,2010.12.22,LPAI
EPI_ISL_124282,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124284,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124287,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124286,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124289,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124291,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124290,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_124293,Asia,H7N4,ANSERIFORMES,2011.01.18,LPAI
EPI_ISL_124292,Asia,H7N6,ANSERIFORMES,2010.11.03,LPAI
EPI_ISL_26002,Europe,H7N7,GALLIFORMES,2008.6.30,HPAI
EPI_ISL_14886524,Asia,H7N7,ANSERIFORMES,2021.12.18,LPAI
EPI_ISL_157487,Asia,H7N9,human,2013.11.30,LPAI
EPI_ISL_19293715,Europe,H7N7,GALLIFORMES,2008.6.30,HPAI
EPI_ISL_26430,Asia,H7N1,ANSERIFORMES,2002.6.30,LPAI
EPI_ISL_108412,Europe,H7N1,ANSERIFORMES,2006.6.30,LPAI
EPI_ISL_18347,NorthAmerica,H7N3,GALLIFORMES,2004.6.30,LPAI
EPI_ISL_165811,Asia,H7N9,Environment,2010.09.23,LPAI
EPI_ISL_165812,Asia,H7N9,Environment,2012.03.14,LPAI
EPI_ISL_157702,Asia,H7N9,human,2014.03.01,LPAI
EPI_ISL_67718,SouthAmerica,H7N3,GALLIFORMES,2002.6.30,LPAI
EPI_ISL_2188,NorthAmerica,H7,GALLIFORMES,2000.6.30,LPAI
EPI_ISL_76065,Asia,H7N3,GALLIFORMES,2003.11.15,HPAI
EPI_ISL_76067,Asia,H7N3,GALLIFORMES,2004.04.24,HPAI
EPI_ISL_76066,Asia,H7N3,GALLIFORMES,2003.12.28,HPAI
EPI_ISL_76068,Asia,H7N3,GALLIFORMES,2004.05.12,HPAI
EPI_ISL_280894,Asia,H7N9,human,2017.02.03,HPAI
EPI_ISL_149858,Asia,H7N1,ANSERIFORMES,2010.07.24,LPAI
EPI_ISL_149862,Asia,H7N1,ANSERIFORMES,2010.07.24,LPAI
