Region,month,year,Serotype,Animaltype
Oceania,11,2024,H7N6,Domestic
Asia,11,2024,H7N3,Environmental sample
Asia,11,2024,H7N3,Environmental sample
Africa,7,2024,H7N6,Domestic
Oceania,7,2024,H7N8,Domestic
Oceania,6,2024,H7N8,Domestic
Europe,6,2024,H7N5,Domestic
Oceania,6,2024,H7N8,Domestic
Oceania,6,2024,H7N8,Domestic
Oceania,6,2024,H7N8,Domestic
Oceania,6,2024,H7N8,Domestic
Oceania,6,2024,H7N3,Domestic
Oceania,6,2024,H7N8,Domestic
Oceania,6,2024,H7N8,Domestic
Oceania,6,2024,H7N3,Domestic
Oceania,6,2024,H7N3,Domestic
Oceania,6,2024,H7N3,Domestic
Oceania,5,2024,H7N9,Domestic
Oceania,5,2024,H7N3,Domestic
North America,5,2024,H7N3,Domestic
North America,5,2024,H7N3,Domestic
Oceania,5,2024,H7N3,Domestic
Oceania,5,2024,H7N3,Domestic
North America,5,2024,H7N3,Domestic
North America,4,2024,H7N3,Domestic
North America,4,2024,H7N3,Domestic
North America,3,2024,H7N3,Domestic
North America,2,2024,H7N3,Domestic
North America,2,2024,H7N3,Domestic
Asia,2,2024,H7N7,Environmental sample
Asia,2,2024,H7N6,Environmental sample
Asia,1,2024,H7N1,Environmental sample
Asia,1,2024,H7N1,Environmental sample
Asia,1,2024,H7N1,Environmental sample
Asia,1,2024,H7N1,Environmental sample
Africa,1,2024,H7N6,Domestic
Asia,1,2024,H7N7,Environmental sample
Africa,12,2023,H7N6,Domestic
Africa,12,2023,H7N6,Domestic
Asia,12,2023,H7N7,Captive
Asia,12,2023,H7N1,Environmental sample
Africa,11,2023,H7N6,Domestic
Africa,11,2023,H7N6,Domestic
Africa,11,2023,H7N6,Domestic
Africa,11,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,10,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,9,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7,Domestic
North America,8,2023,H7N3,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7N6,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,8,2023,H7,Domestic
Africa,7,2023,H7,Domestic
Africa,7,2023,H7,Domestic
Africa,7,2023,H7,Domestic
Africa,7,2023,H7,Domestic
Africa,7,2023,H7,Domestic
Africa,6,2023,H7,Domestic
Africa,6,2023,H7,Domestic
Africa,6,2023,H7,Domestic
Africa,5,2023,H7,Domestic
North America,5,2023,H7N3,Domestic
North America,5,2023,H7N3,Domestic
North America,5,2023,H7N3,Domestic
North America,5,2023,H7N3,Domestic
North America,5,2023,H7N3,Domestic
North America,4,2023,H7N3,Domestic
North America,4,2023,H7N3,Domestic
North America,4,2023,H7N3,Domestic
North America,3,2023,H7N3,Domestic
North America,3,2023,H7N3,Domestic
North America,3,2023,H7N3,Domestic
North America,1,2023,H7N3,Domestic
North America,6,2022,H7N3,Domestic
North America,6,2022,H7N3,Domestic
North America,5,2022,H7N3,Domestic
North America,5,2022,H7N3,Domestic
North America,5,2022,H7N3,Domestic
North America,5,2022,H7N3,Domestic
North America,4,2022,H7N3,Domestic
North America,4,2022,H7N3,Domestic
North America,4,2022,H7N3,Domestic
North America,4,2022,H7N3,Domestic
North America,3,2022,H7N3,Domestic
North America,3,2022,H7N3,Domestic
North America,3,2022,H7N3,Domestic
North America,1,2022,H7N3,Domestic
North America,1,2022,H7N3,Domestic
North America,1,2022,H7N3,Domestic
North America,1,2022,H7N3,Domestic
North America,10,2021,H7,Domestic
Europe,9,2021,H7N7,Wild
Europe,3,2021,H7N7,Wild
Europe,1,2021,H7N7,Domestic
Europe,1,2021,H7N7,Domestic
Africa,11,2020,H7,Domestic
Africa,11,2020,H7,Domestic
Africa,11,2020,H7,Domestic
Africa,10,2020,H7,Domestic
Africa,10,2020,H7,Domestic
Africa,10,2020,H7,Domestic
Africa,10,2020,H7,Domestic
Africa,9,2020,H7,Domestic
Africa,9,2020,H7,Domestic
Africa,9,2020,H7,Domestic
Africa,9,2020,H7,Domestic
Africa,9,2020,H7,Domestic
Africa,9,2020,H7,Domestic
Africa,9,2020,H7,Domestic
Africa,9,2020,H7,Domestic
Africa,8,2020,H7,Domestic
Oceania,8,2020,H7N7,Domestic
Africa,8,2020,H7,Domestic
Africa,8,2020,H7,Domestic
Africa,8,2020,H7,Domestic
Oceania,8,2020,H7N6,Domestic
Africa,8,2020,H7,Domestic
Africa,8,2020,H7,Domestic
Africa,8,2020,H7,Domestic
Oceania,8,2020,H7N7,Domestic
Africa,8,2020,H7,Domestic
Africa,8,2020,H7,Domestic
Africa,8,2020,H7,Domestic
Oceania,7,2020,H7N7,Domestic
Africa,7,2020,H7,Domestic
Africa,7,2020,H7,Domestic
Europe,4,2020,H7N1,Domestic
Europe,4,2020,H7N1,Domestic
North America,4,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
North America,3,2020,H7N3,Domestic
Asia,11,2019,H7N7,Wild
South America,10,2019,H7N6,Domestic
South America,10,2019,H7N6,Domestic
South America,10,2019,H7N3,Domestic
South America,9,2019,H7N3,Domestic
South America,9,2019,H7N3,Domestic
North America,9,2019,H7N3,Domestic
North America,9,2019,H7N3,Domestic
North America,9,2019,H7N3,Domestic
North America,9,2019,H7N3,Domestic
North America,9,2019,H7N3,Domestic
North America,9,2019,H7N3,Domestic
North America,9,2019,H7N3,Domestic
