Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed,Slaughtered,Deaths
2005,Jan-Jun 2005,Asia,Korea (Dem People's Rep. of),P'Yongyang-Si,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N7,Domestic,Birds,496,-,3,218788,Animal,20336,215552,0,3236
2006,Jan-Jun 2006,Asia,T¨¹rkiye (Rep. of),Samsun,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2007,Jan-Jun 2007,Europe,Italy,Veneto,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,960,Animal,0,960,0,0
2007,Jan-Jun 2007,Europe,United Kingdom,England,Low pathogenic avian influenza (poultry) (2006-2021),H7N2,Domestic,Birds,-,-,-,34,Animal,8,34,0,0
2007,Jan-Jun 2007,Europe,United Kingdom,Wales,Low pathogenic avian influenza (poultry) (2006-2021),H7N2,Domestic,Birds,-,-,-,48,Animal,15,0,33,15
2007,Jul-Dec 2007,Americas,Canada,Saskatchewan,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,Birds,-,-,-,49100,Animal,540,48560,0,540
2007,Jul-Dec 2007,Americas,United States of America,Nebraska,Low pathogenic avian influenza (poultry) (2006-2021),H7N9,Domestic,Birds,-,-,-,144000,Animal,0,0,144000,0
2007,Jul-Dec 2007,Asia,Korea (Rep. of),Gwangju Metropolitan City,Low pathogenic avian influenza (poultry) (2006-2021),H7N8,Domestic,Birds,-,-,-,10600,Animal,10,3800,0,10
2007,Jul-Dec 2007,Europe,Italy,Basilicata,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,75,Animal,0,75,0,0
2007,Jul-Dec 2007,Europe,Italy,Emilia-Romagna,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,17465,Animal,0,17465,0,0
2007,Jul-Dec 2007,Europe,Italy,Lombardia,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,107220,Animal,31761,103444,0,3476
2007,Jul-Dec 2007,Europe,Italy,Piemonte,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,2340,Animal,0,2340,0,0
2007,Jul-Dec 2007,Europe,Italy,Veneto,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,2139,Animal,0,2114,0,0
2007,Jul-Dec 2007,Europe,United Kingdom,England,Low pathogenic avian influenza (poultry) (2006-2021),H7N2,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2008,Jan-Jun 2008,Americas,Canada,Saskatchewan,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2008,Jan-Jun 2008,Americas,United States of America,Arkansas,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,16000,Animal,0,16000,0,0
2008,Jan-Jun 2008,Europe,Denmark,South (2008-2009),Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,2750,Animal,0,2750,0,0
2008,Jan-Jun 2008,Europe,Italy,Emilia-Romagna,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,5096,Animal,0,5096,0,0
2008,Jan-Jun 2008,Europe,United Kingdom,England,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N7,Domestic,Birds,-,-,-,25000,Animal,15000,15000,0,10000
2008,Jul-Dec 2008,Americas,United States of America,Arkansas,Low pathogenic avian influenza (poultry) (2006-2021),H7N3,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2008,Jul-Dec 2008,Europe,Italy,Calabria,Low pathogenic avian influenza (poultry) (2006-2021),H7N1,Domestic,Birds,-,-,-,11100,Animal,7,11100,0,0
2008,Jul-Dec 2008,Europe,United Kingdom,England,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N7,Domestic,Birds,-,-,-,-,Animal,0,0,0,0
2009,Jan-Jun 2009,Americas,United States of America,Kentucky,Low pathogenic avian influenza (poultry) (2006-2021),H7N9,Domestic,Birds,-,-,-,20000,Animal,0,20000,0,0
2009,Jan-Jun 2009,Asia,Japan,Aichi,Low pathogenic avian influenza (poultry) (2006-2021),H7N6,Domestic,Birds,-,-,-,1595577,Animal,10,1595577,0,0
2009,Jan-Jun 2009,Europe,Czech Republic,Jihomoravsky,Low pathogenic avian influenza (poultry) (2006-2021),H7N9,Domestic,Birds,-,-,-,679,Animal,679,679,0,0
2009,Jan-Jun 2009,Europe,Germany,Nordrhein-Westfalen,Low pathogenic avian influenza (poultry) (2006-2021),H7N7,Domestic,Birds,-,-,-,16700,Animal,454,16246,0,454
