year,subtype
2013,H7N9
2006,H7N2
2003,H7N2
2006,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2006,H7N3
2020,H7N7
2017,H7N9
2006,H7N2
2005,H7N2
2016,H7N8
2005,H7N2
2016,H7N8
2005,H7N2
2005,H7N2
2005,H7N2
2017,H7N9
2005,H7N2
2005,H7N2
2016,H7N8
2003,H7N2
2010,H7N3
2016,H7N8
2016,H7N8
2023,H7N1
2023,H7N1
2012,H7N7
2023,H7N1
2014,H7N9
2019,H7N7
2019,H7N7
2013,H7N9
2017,H7N9
2019,H7N7
2004,H7N7
2017,H7N9
2017,H7N9
2004,H7N3
2016,H7N9
2004,H7N3
2014,H7N9
2004,H7N3
2016,H7N8
2004,H7N3
2006,H7N9
2016,H7N9
2014,H7N9
2014,H7N9
2017,H7N9
2017,H7N9
2014,H7N9
2016,H7N9
2006,H7N7
2014,H7N9
2001,H7N3
2014,H7N9
2014,H7N9
2014,H7N9
2014,H7N9
2011,H7N7
2020,H7N5
2015,H7N9
2021,H7N3
2021,H7N3
2014,H7N9
2021,H7N3
2015,H7N9
2021,H7N3
2005,H7N2
2017,H7N2
2003,H7N3
2018,H7N3
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2017,H7N9
2005,H7N2
2005,H7N2
2017,H7N9
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2005,H7N2
2013,H7N9
2005,H7N2
2005,H7N2
2000,H7N9
2006,H7N2
2013,H7N9
2013,H7N9
2005,H7N2
2016,H7N9
2013,H7N9
2007,H7N3
2016,H7N9
2007,H7N3
2007,H7N3
2013,H7N9
2013,H7N9
2016,H7N9
2016,H7N9
2019,H7N7
2016,H7N9
2016,H7N9
2016,H7N9
2016,H7N9
2016,H7N9
2016,H7N9
2021,H7N3
2021,H7N7
2016,H7N9
2016,H7N9
2007,H7N6
2016,H7N9
2016,H7N9
2016,H7N9
