Coefficient	Sample Size	Activation Rate (%)	Mean	Median	Std	95% CI Lower	95% CI Upper	HPD Lower	HPD Upper
β1	51	0.8	-0.7559975632532132	-0.9705336007254254	0.8999568719695045	-2.1995762766842613	0.5287483688834876	-2.144045622414249	0.5551680911308953
β2	12	0.2	-0.09642967200619727	-0.06186626314238035	0.10076904446114292	-0.29148691437499447	0.038162899387236805	-0.3121910265863703	0.0516182807742325
β3	43	0.7	1.621243442621475	1.6901130633453585	1.201078241386647	-0.2962228295861335	3.9339111928899055	-0.3281233858390816	3.8489174888603888
β4	4	0.1	-0.009573803819861875	-0.01138364394365625	0.01409159125623532	-0.025776377576876234	0.009705498147602918	-0.02641281573494	0.010884888342805
β5	6016	100.0	-1.01476625846663	-1.01126092480785	0.07662037846282792	-1.1733544004161982	-0.8788553303172703	-1.1671258372536808	-0.875573286483686
β6	77	1.3	0.878132975933469	-0.0650055488850793	1.60920769580984	-0.7644062962587468	4.509869743705859	-0.8303696132309334	4.153549594513963
β7	767	12.7	-0.3507787426046207	-0.3505870583699552	0.10567491378601504	-0.5533987553555905	-0.14675428581423736	-0.5599170675016991	-0.1570326269685187
β8	25	0.4	0.024016814436517608	0.117342600767211	0.4112884830333978	-0.8269005482928871	0.5708029694169905	-0.8385831146237004	0.512991401516404
β9	9	0.1	-0.015488786461148686	-0.0403941055691094	0.10680872596354986	-0.13454676084779707	0.19431832456051762	-0.1389242585724329	0.2241781986350601
β10	22	0.4	-0.33143773905925555	-0.3814608708175721	0.23121207821719436	-0.6676973936661369	0.1433553847843009	-0.6940906908793091	0.0491865279137411
β11	5	0.1	-0.060914387714131026	-0.0660295535076314	0.21137617935895245	-0.29986682558520805	0.26747229854541194	-0.3070205901454038	0.2963452294785366
β12	160	2.7	0.1428254368953387	-0.34386389169456805	0.894336060614151	-0.7250339306862367	1.960824249271448	-0.8416706258066616	1.7623727990106126
β13	9	0.1	-0.03961698980237401	-0.0565234432623734	0.09374061314259567	-0.18785421418784384	0.09792421043632027	-0.1964930185050512	0.1035201200444319
β14	6018	100.0	1.174092285469187	1.1557482230755567	0.24221587784650708	0.8080824323706185	1.6222015230715763	0.7755714659496289	1.5707088457004612
β15	6015	100.0	0.6329957004410628	0.6311641421363762	0.11007378926119543	0.4257005582418677	0.8534627247009058	0.4252438320530157	0.8524054774435205
