,Bangladesh,Belgium,Cambodia,Canada,Chile,China,Egypt,Germany,HongKong,Italy,Japan,Korea,Mexico,Mongolia,Netherlands,Pakistan,SouthAfrica,Sweden,Taiwan,Thailand,UK,USA
Bangladesh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Belgium,0.001,0.001,0.001,3716,4963,0.001,924,624270.8,0.001,0.001,0.001,0.001,0.001,0.001,23848827,217,329,507.5,0.001,1099,27542.2,0.001
Cambodia,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Canada,13504,0.001,0.001,0.001,2213.071429,3884.75,0.001,7656.230769,0.001,1387,11939.3,4718.384615,7091.5,0.001,3362.25,2854.333333,0.001,873,0.001,0.001,972.75,5903954.8
Chile,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6831.833333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5
China,2656,0.001,0.001,2,0.001,0.001,0.001,2500,0.001,0.001,0.001,0.001,0.001,1572500.429,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Egypt,5470.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,407,0.001,0.001,0.001,0.001,0.001,0.001
Germany,6575.875,5167495,48,26038.81818,1822.454545,66342.57143,4932,0.001,0.001,140864.7273,10536.36364,5988,8838.333333,0.001,389986684,48243,10417.18182,4555.75,0.001,23722.14286,29195.46667,2160
HongKong,132,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,714,0.001,0.001
Italy,651,205.5,0.001,0.001,0.001,0.001,5438.5,9627.714286,0.001,0.001,0.001,0.001,0.001,0.001,318854.8,0.001,0.001,3,0.001,367.5,281.3333333,1872.333333
Japan,71,0.001,0.001,99,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,18175,0.001,0.001
Korea,0.001,0.001,365.75,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,288,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Mexico,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,59
Mongolia,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Netherlands,40511.6,193355595,258,1781.4,1718.5,11160.16667,205753,42289991.73,0.001,85010.61538,17350.85714,0.001,26611,0.001,0.001,191442,14409.75,4557.5,0.001,87274.4,204703.8333,966.6666667
Pakistan,909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SouthAfrica,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1795.5,0.001,0.001,0.001,13766.66667,0.001,0.001
Sweden,0.001,0.001,0.001,0.001,0.001,0.001,0.001,327732.4,0.001,0.001,0.001,0.001,0.001,0.001,163757.6,0.001,0.001,0.001,0.001,0.001,1.5,0.001
Taiwan,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Thailand,49852.5,0.001,3895.333333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,116,0.001,0.001,0.001,0.001,6,0.001,0.001,0.001,0.001,0.001,0.001
UK,16848.91667,30140.8,0.001,2173.428571,14438.14286,62850.28571,0.001,104746.2667,0.001,104427.3,71684.22222,12965.78571,5169,492221.2,0.001,188109.1111,71387,7345.666667,0.001,184466.3333,0.001,6056.5
USA,60845.1,0.001,0.001,17947400.33,23383.73333,286550.2308,21031,2818.909091,0.001,7896.384615,33583.15385,14547.14286,320478.25,11264.2,0.001,176777.2857,47486.09091,1291,0.001,2535890.286,5987.866667,0.001
