,from,to,markov_jump,
1,SA,AF,0.0167,0.0005017
2,SA,Asia,0.0329,0.00098838
3,NA,AF,0.0401,0.001204682
4,AF,SA,0.0432,0.001297812
5,AF,NA,0.0461,0.001384933
6,SA,EU,0.0644,0.001934701
7,Asia,SA,0.0784,0.002355288
8,EU,NA,0.101,0.003034236
9,EU,NA,0.28,0.008411743
10,NA,EU,0.297,0.008922456
11,NA,Asia,0.898,0.026977661
12,NA,SA,1.005,0.030192148
13,SA,NA,1.199,0.036020284
14,Asia,NA,1.728,0.05191247
15,AF,EU,2.178,0.065431342
16,AF,Asia,2.395,0.071950443
17,Asia,AF,3.564,0.107069469
18,EU,AF,4.426,0.13296562
19,EU,Asia,6.908,0.207529711
20,Asia,EU,7.986,0.239914921
,,,33.2868,1
